location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Arusha,The African Tulip Luxury Boutique Hotel,,"An elegant boutique hotel in the heart of Arusha, offering 29 stylish rooms and suites with African inspired d?or and modern comforts. Guests enjoy a swimming pool, Baobab Restaurant, lounge bar, and warm Tanzanian hospitality, making it a perfect stay before or after a safari.",FALSE,0,FALSE,USD,Deluxe Room (Single),"A Deluxe Single Room at The African Tulip offers a comfortable queen bed, elegant African d?or, air conditioning, WiFi, satellite TV, minibar, and a private bathroom. Ideal for solo travelers seeking a quiet and stylish stay in Arusha before or after safari.",1,0,2,1,1,0,0,0,0,1/1/2026,31/3/2026
Arusha,The African Tulip Luxury Boutique Hotel,,"An elegant boutique hotel in the heart of Arusha, offering 29 stylish rooms and suites with African inspired d?or and modern comforts. Guests enjoy a swimming pool, Baobab Restaurant, lounge bar, and warm Tanzanian hospitality, making it a perfect stay before or after a safari.",FALSE,0,FALSE,USD,Deluxe Room (Single),"A Deluxe Single Room at The African Tulip offers a comfortable queen bed, elegant African d?or, air conditioning, WiFi, satellite TV, minibar, and a private bathroom. Ideal for solo travelers seeking a quiet and stylish stay in Arusha before or after safari.",1,3,12,1,1,163,0,15,25,1/1/2026,31/3/2026
Arusha,The African Tulip Luxury Boutique Hotel,,"An elegant boutique hotel in the heart of Arusha, offering 29 stylish rooms and suites with African inspired d?or and modern comforts. Guests enjoy a swimming pool, Baobab Restaurant, lounge bar, and warm Tanzanian hospitality, making it a perfect stay before or after a safari.",FALSE,0,FALSE,USD,Deluxe Room (Single),"A Deluxe Single Room at The African Tulip offers a comfortable queen bed, elegant African d?or, air conditioning, WiFi, satellite TV, minibar, and a private bathroom. Ideal for solo travelers seeking a quiet and stylish stay in Arusha before or after safari.",1,13,99,1,1,163,0,30,50,1/1/2026,31/3/2026
Arusha,The African Tulip Luxury Boutique Hotel,,"An elegant boutique hotel in the heart of Arusha, offering 29 stylish rooms and suites with African inspired d?or and modern comforts. Guests enjoy a swimming pool, Baobab Restaurant, lounge bar, and warm Tanzanian hospitality, making it a perfect stay before or after a safari.",FALSE,0,FALSE,USD,Deluxe Room (Single),"A Deluxe Single Room at The African Tulip offers a comfortable queen bed, elegant African d?or, air conditioning, WiFi, satellite TV, minibar, and a private bathroom. Ideal for solo travelers seeking a quiet and stylish stay in Arusha before or after safari.",1,0,2,1,1,0,0,0,0,1/4/2026,31/5/2026
Arusha,The African Tulip Luxury Boutique Hotel,,"An elegant boutique hotel in the heart of Arusha, offering 29 stylish rooms and suites with African inspired d?or and modern comforts. Guests enjoy a swimming pool, Baobab Restaurant, lounge bar, and warm Tanzanian hospitality, making it a perfect stay before or after a safari.",FALSE,0,FALSE,USD,Deluxe Room (Single),"A Deluxe Single Room at The African Tulip offers a comfortable queen bed, elegant African d?or, air conditioning, WiFi, satellite TV, minibar, and a private bathroom. Ideal for solo travelers seeking a quiet and stylish stay in Arusha before or after safari.",1,3,12,1,1,129,0,15,25,1/4/2026,31/5/2026
Arusha,The African Tulip Luxury Boutique Hotel,,"An elegant boutique hotel in the heart of Arusha, offering 29 stylish rooms and suites with African inspired d?or and modern comforts. Guests enjoy a swimming pool, Baobab Restaurant, lounge bar, and warm Tanzanian hospitality, making it a perfect stay before or after a safari.",FALSE,0,FALSE,USD,Deluxe Room (Single),"A Deluxe Single Room at The African Tulip offers a comfortable queen bed, elegant African d?or, air conditioning, WiFi, satellite TV, minibar, and a private bathroom. Ideal for solo travelers seeking a quiet and stylish stay in Arusha before or after safari.",1,13,99,1,1,129,0,30,50,1/4/2026,31/5/2026
Arusha,The African Tulip Luxury Boutique Hotel,,"An elegant boutique hotel in the heart of Arusha, offering 29 stylish rooms and suites with African inspired d?or and modern comforts. Guests enjoy a swimming pool, Baobab Restaurant, lounge bar, and warm Tanzanian hospitality, making it a perfect stay before or after a safari.",FALSE,0,FALSE,USD,Deluxe Room (Single),"A Deluxe Single Room at The African Tulip offers a comfortable queen bed, elegant African d?or, air conditioning, WiFi, satellite TV, minibar, and a private bathroom. Ideal for solo travelers seeking a quiet and stylish stay in Arusha before or after safari.",1,0,2,1,1,0,0,0,0,1/6/2026,31/12/2026
Arusha,The African Tulip Luxury Boutique Hotel,,"An elegant boutique hotel in the heart of Arusha, offering 29 stylish rooms and suites with African inspired d?or and modern comforts. Guests enjoy a swimming pool, Baobab Restaurant, lounge bar, and warm Tanzanian hospitality, making it a perfect stay before or after a safari.",FALSE,0,FALSE,USD,Deluxe Room (Single),"A Deluxe Single Room at The African Tulip offers a comfortable queen bed, elegant African d?or, air conditioning, WiFi, satellite TV, minibar, and a private bathroom. Ideal for solo travelers seeking a quiet and stylish stay in Arusha before or after safari.",1,3,12,1,1,163,0,15,25,1/6/2026,31/12/2026
Arusha,The African Tulip Luxury Boutique Hotel,,"An elegant boutique hotel in the heart of Arusha, offering 29 stylish rooms and suites with African inspired d?or and modern comforts. Guests enjoy a swimming pool, Baobab Restaurant, lounge bar, and warm Tanzanian hospitality, making it a perfect stay before or after a safari.",FALSE,0,FALSE,USD,Deluxe Room (Single),"A Deluxe Single Room at The African Tulip offers a comfortable queen bed, elegant African d?or, air conditioning, WiFi, satellite TV, minibar, and a private bathroom. Ideal for solo travelers seeking a quiet and stylish stay in Arusha before or after safari.",1,13,99,1,1,163,0,30,50,1/6/2026,31/12/2026
Arusha,The African Tulip Luxury Boutique Hotel,,"An elegant boutique hotel in the heart of Arusha, offering 29 stylish rooms and suites with African inspired d?or and modern comforts. Guests enjoy a swimming pool, Baobab Restaurant, lounge bar, and warm Tanzanian hospitality, making it a perfect stay before or after a safari.",FALSE,0,FALSE,USD,Deluxe Room (Double),"The Deluxe Double Room features a spacious king bed with warm African d?or and modern comforts. Guests enjoy air conditioning, WiFi, satellite TV, minibar, and a private bathroom. Perfect for couples looking for comfort and relaxation in the heart of Arusha.",2,0,2,1,2,0,0,0,0,1/1/2026,31/3/2026
