location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Arusha National Park,African View Lodge,,"Charming bungalow-style lodge near Arusha National Park, featuring 23 en-suite rooms with stunning Mount Meru views. Set in lush gardens with a large pool—perfect safari base.",TRUE,0,FALSE,USD,Single Room,"Spacious en-suite bungalow with king or single bed, mosquito nets, private bathroom (shower/toilet), terrace, and unique Tanzanian theme (e.g., Maasai, Serengeti). Light-filled, thatched ceilings, Mount Meru views.",1,0,4,1,1,0.0,0.0,20.0,32.0,03/01/2026,14/03/2026
Arusha National Park,African View Lodge,,"Charming bungalow-style lodge near Arusha National Park, featuring 23 en-suite rooms with stunning Mount Meru views. Set in lush gardens with a large pool—perfect safari base.",TRUE,0,FALSE,USD,Single Room,"Spacious en-suite bungalow with king or single bed, mosquito nets, private bathroom (shower/toilet), terrace, and unique Tanzanian theme (e.g., Maasai, Serengeti). Light-filled, thatched ceilings, Mount Meru views.",1,5,15,1,1,32.5,0.0,20.0,32.0,03/01/2026,14/03/2026
Arusha National Park,African View Lodge,,"Charming bungalow-style lodge near Arusha National Park, featuring 23 en-suite rooms with stunning Mount Meru views. Set in lush gardens with a large pool—perfect safari base.",TRUE,0,FALSE,USD,Single Room,"Spacious en-suite bungalow with king or single bed, mosquito nets, private bathroom (shower/toilet), terrace, and unique Tanzanian theme (e.g., Maasai, Serengeti). Light-filled, thatched ceilings, Mount Meru views.",1,16,99,1,1,65.0,0.0,20.0,32.0,03/01/2026,14/03/2026
Arusha National Park,African View Lodge,,"Charming bungalow-style lodge near Arusha National Park, featuring 23 en-suite rooms with stunning Mount Meru views. Set in lush gardens with a large pool—perfect safari base.",TRUE,0,FALSE,USD,Single Room,"Spacious en-suite bungalow with king or single bed, mosquito nets, private bathroom (shower/toilet), terrace, and unique Tanzanian theme (e.g., Maasai, Serengeti). Light-filled, thatched ceilings, Mount Meru views.",1,0,4,1,1,0.0,0.0,20.0,32.0,15/03/2026,15/05/2026
Arusha National Park,African View Lodge,,"Charming bungalow-style lodge near Arusha National Park, featuring 23 en-suite rooms with stunning Mount Meru views. Set in lush gardens with a large pool—perfect safari base.",TRUE,0,FALSE,USD,Single Room,"Spacious en-suite bungalow with king or single bed, mosquito nets, private bathroom (shower/toilet), terrace, and unique Tanzanian theme (e.g., Maasai, Serengeti). Light-filled, thatched ceilings, Mount Meru views.",1,5,15,1,1,32.5,0.0,20.0,32.0,15/03/2026,15/05/2026
Arusha National Park,African View Lodge,,"Charming bungalow-style lodge near Arusha National Park, featuring 23 en-suite rooms with stunning Mount Meru views. Set in lush gardens with a large pool—perfect safari base.",TRUE,0,FALSE,USD,Single Room,"Spacious en-suite bungalow with king or single bed, mosquito nets, private bathroom (shower/toilet), terrace, and unique Tanzanian theme (e.g., Maasai, Serengeti). Light-filled, thatched ceilings, Mount Meru views.",1,16,99,1,1,65.0,0.0,20.0,32.0,15/03/2026,15/05/2026
Arusha National Park,African View Lodge,,"Charming bungalow-style lodge near Arusha National Park, featuring 23 en-suite rooms with stunning Mount Meru views. Set in lush gardens with a large pool—perfect safari base.",TRUE,0,FALSE,USD,Single Room,"Spacious en-suite bungalow with king or single bed, mosquito nets, private bathroom (shower/toilet), terrace, and unique Tanzanian theme (e.g., Maasai, Serengeti). Light-filled, thatched ceilings, Mount Meru views.",1,0,4,1,1,0.0,0.0,20.0,32.0,16/05/2026,31/12/2026
Arusha National Park,African View Lodge,,"Charming bungalow-style lodge near Arusha National Park, featuring 23 en-suite rooms with stunning Mount Meru views. Set in lush gardens with a large pool—perfect safari base.",TRUE,0,FALSE,USD,Single Room,"Spacious en-suite bungalow with king or single bed, mosquito nets, private bathroom (shower/toilet), terrace, and unique Tanzanian theme (e.g., Maasai, Serengeti). Light-filled, thatched ceilings, Mount Meru views.",1,5,15,1,1,32.5,0.0,20.0,32.0,16/05/2026,31/12/2026
Arusha National Park,African View Lodge,,"Charming bungalow-style lodge near Arusha National Park, featuring 23 en-suite rooms with stunning Mount Meru views. Set in lush gardens with a large pool—perfect safari base.",TRUE,0,FALSE,USD,Single Room,"Spacious en-suite bungalow with king or single bed, mosquito nets, private bathroom (shower/toilet), terrace, and unique Tanzanian theme (e.g., Maasai, Serengeti). Light-filled, thatched ceilings, Mount Meru views.",1,16,99,1,1,65.0,0.0,20.0,32.0,16/05/2026,31/12/2026
Arusha National Park,African View Lodge,,"Charming bungalow-style lodge near Arusha National Park, featuring 23 en-suite rooms with stunning Mount Meru views. Set in lush gardens with a large pool—perfect safari base.",TRUE,0,FALSE,USD,Double Room,"Spacious en-suite bungalow with king or single bed, mosquito nets, private bathroom (shower/toilet), terrace, and unique Tanzanian theme (e.g., Maasai, Serengeti). Light-filled, thatched ceilings, Mount Meru views.",2,0,4,1,2,0.0,0.0,20.0,32.0,03/01/2026,14/03/2026
