location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Tarangirei National park,Tarangire View Tented Lodge,,"Brand-new permanent tented lodge atop a hill near Mpingo Ridge in Tarangire National Park, offering sweeping views of the Tarangire River valley and kopjes. Houses 12 spacious house-style tents with private bathrooms, large terraces, stylish furnishings, and a true bush feel blending comfort, privacy, and stunning scenery.",TRUE,0,FALSE,USD,Single Room,"Spacious house-style tent adaptable for 1 (using double/twin bed as single), en-suite bathroom, large terrace with couch/table overlooking Tarangire River valley, stylish furniture, desk, storage, and bush comfort with privacy.",1,0,4,1,1,0,0,0,0,01/03/2026,31/05/2026
Tarangirei National park,Tarangire View Tented Lodge,,"Brand-new permanent tented lodge atop a hill near Mpingo Ridge in Tarangire National Park, offering sweeping views of the Tarangire River valley and kopjes. Houses 12 spacious house-style tents with private bathrooms, large terraces, stylish furnishings, and a true bush feel blending comfort, privacy, and stunning scenery.",TRUE,0,FALSE,USD,Single Room,"Spacious house-style tent adaptable for 1 (using double/twin bed as single), en-suite bathroom, large terrace with couch/table overlooking Tarangire River valley, stylish furniture, desk, storage, and bush comfort with privacy.",1,5,15,1,1,108.75,0,0,0,01/03/2026,31/05/2026
Tarangirei National park,Tarangire View Tented Lodge,,"Brand-new permanent tented lodge atop a hill near Mpingo Ridge in Tarangire National Park, offering sweeping views of the Tarangire River valley and kopjes. Houses 12 spacious house-style tents with private bathrooms, large terraces, stylish furnishings, and a true bush feel blending comfort, privacy, and stunning scenery.",TRUE,0,FALSE,USD,Single Room,"Spacious house-style tent adaptable for 1 (using double/twin bed as single), en-suite bathroom, large terrace with couch/table overlooking Tarangire River valley, stylish furniture, desk, storage, and bush comfort with privacy.",1,16,99,1,1,145,0,0,0,01/03/2026,31/05/2026
Tarangirei National park,Tarangire View Tented Lodge,,"Brand-new permanent tented lodge atop a hill near Mpingo Ridge in Tarangire National Park, offering sweeping views of the Tarangire River valley and kopjes. Houses 12 spacious house-style tents with private bathrooms, large terraces, stylish furnishings, and a true bush feel blending comfort, privacy, and stunning scenery.",TRUE,0,FALSE,USD,Single Room,"Spacious house-style tent adaptable for 1 (using double/twin bed as single), en-suite bathroom, large terrace with couch/table overlooking Tarangire River valley, stylish furniture, desk, storage, and bush comfort with privacy.",1,0,4,1,1,0,0,0,0,01/06/2026,31/10/2026
Tarangirei National park,Tarangire View Tented Lodge,,"Brand-new permanent tented lodge atop a hill near Mpingo Ridge in Tarangire National Park, offering sweeping views of the Tarangire River valley and kopjes. Houses 12 spacious house-style tents with private bathrooms, large terraces, stylish furnishings, and a true bush feel blending comfort, privacy, and stunning scenery.",TRUE,0,FALSE,USD,Single Room,"Spacious house-style tent adaptable for 1 (using double/twin bed as single), en-suite bathroom, large terrace with couch/table overlooking Tarangire River valley, stylish furniture, desk, storage, and bush comfort with privacy.",1,5,15,1,1,195,0,0,0,01/06/2026,31/10/2026
Tarangirei National park,Tarangire View Tented Lodge,,"Brand-new permanent tented lodge atop a hill near Mpingo Ridge in Tarangire National Park, offering sweeping views of the Tarangire River valley and kopjes. Houses 12 spacious house-style tents with private bathrooms, large terraces, stylish furnishings, and a true bush feel blending comfort, privacy, and stunning scenery.",TRUE,0,FALSE,USD,Single Room,"Spacious house-style tent adaptable for 1 (using double/twin bed as single), en-suite bathroom, large terrace with couch/table overlooking Tarangire River valley, stylish furniture, desk, storage, and bush comfort with privacy.",1,16,99,1,1,260,0,0,0,01/06/2026,31/10/2026
Tarangirei National park,Tarangire View Tented Lodge,,"Brand-new permanent tented lodge atop a hill near Mpingo Ridge in Tarangire National Park, offering sweeping views of the Tarangire River valley and kopjes. Houses 12 spacious house-style tents with private bathrooms, large terraces, stylish furnishings, and a true bush feel blending comfort, privacy, and stunning scenery.",TRUE,0,FALSE,USD,Single Room,"Spacious house-style tent adaptable for 1 (using double/twin bed as single), en-suite bathroom, large terrace with couch/table overlooking Tarangire River valley, stylish furniture, desk, storage, and bush comfort with privacy.",1,0,4,1,1,0,0,0,0,01/11/2026,19/12/2026
Tarangirei National park,Tarangire View Tented Lodge,,"Brand-new permanent tented lodge atop a hill near Mpingo Ridge in Tarangire National Park, offering sweeping views of the Tarangire River valley and kopjes. Houses 12 spacious house-style tents with private bathrooms, large terraces, stylish furnishings, and a true bush feel blending comfort, privacy, and stunning scenery.",TRUE,0,FALSE,USD,Single Room,"Spacious house-style tent adaptable for 1 (using double/twin bed as single), en-suite bathroom, large terrace with couch/table overlooking Tarangire River valley, stylish furniture, desk, storage, and bush comfort with privacy.",1,5,15,1,1,108.75,0,0,0,01/11/2026,19/12/2026
Tarangirei National park,Tarangire View Tented Lodge,,"Brand-new permanent tented lodge atop a hill near Mpingo Ridge in Tarangire National Park, offering sweeping views of the Tarangire River valley and kopjes. Houses 12 spacious house-style tents with private bathrooms, large terraces, stylish furnishings, and a true bush feel blending comfort, privacy, and stunning scenery.",TRUE,0,FALSE,USD,Single Room,"Spacious house-style tent adaptable for 1 (using double/twin bed as single), en-suite bathroom, large terrace with couch/table overlooking Tarangire River valley, stylish furniture, desk, storage, and bush comfort with privacy.",1,16,99,1,1,145,0,0,0,01/11/2026,19/12/2026
Tarangirei National park,Tarangire View Tented Lodge,,"Brand-new permanent tented lodge atop a hill near Mpingo Ridge in Tarangire National Park, offering sweeping views of the Tarangire River valley and kopjes. Houses 12 spacious house-style tents with private bathrooms, large terraces, stylish furnishings, and a true bush feel blending comfort, privacy, and stunning scenery.",TRUE,0,FALSE,USD,Single Room,"Spacious house-style tent adaptable for 1 (using double/twin bed as single), en-suite bathroom, large terrace with couch/table overlooking Tarangire River valley, stylish furniture, desk, storage, and bush comfort with privacy.",1,0,4,1,1,0,0,0,0,20/12/2026,31/12/2026
Tarangirei National park,Tarangire View Tented Lodge,,"Brand-new permanent tented lodge atop a hill near Mpingo Ridge in Tarangire National Park, offering sweeping views of the Tarangire River valley and kopjes. Houses 12 spacious house-style tents with private bathrooms, large terraces, stylish furnishings, and a true bush feel blending comfort, privacy, and stunning scenery.",TRUE,0,FALSE,USD,Single Room,"Spacious house-style tent adaptable for 1 (using double/twin bed as single), en-suite bathroom, large terrace with couch/table overlooking Tarangire River valley, stylish furniture, desk, storage, and bush comfort with privacy.",1,5,15,1,1,195,0,0,0,20/12/2026,31/12/2026
Tarangirei National park,Tarangire View Tented Lodge,,"Brand-new permanent tented lodge atop a hill near Mpingo Ridge in Tarangire National Park, offering sweeping views of the Tarangire River valley and kopjes. Houses 12 spacious house-style tents with private bathrooms, large terraces, stylish furnishings, and a true bush feel blending comfort, privacy, and stunning scenery.",TRUE,0,FALSE,USD,Single Room,"Spacious house-style tent adaptable for 1 (using double/twin bed as single), en-suite bathroom, large terrace with couch/table overlooking Tarangire River valley, stylish furniture, desk, storage, and bush comfort with privacy.",1,16,99,1,1,260,0,0,0,20/12/2026,31/12/2026
Tarangirei National park,Tarangire View Tented Lodge,,"Brand-new permanent tented lodge atop a hill near Mpingo Ridge in Tarangire National Park, offering sweeping views of the Tarangire River valley and kopjes. Houses 12 spacious house-style tents with private bathrooms, large terraces, stylish furnishings, and a true bush feel blending comfort, privacy, and stunning scenery.",TRUE,0,FALSE,USD,Double room,"House-style tent with king-size bed, attached bathroom, big terrace with comfortable seating, beautifully designed furniture, desk, ample storage, and sweeping views of kopjes and valley for a luxurious bush feel.",2,0,4,1,2,0,0,0,0,01/03/2026,31/05/2026
Tarangirei National park,Tarangire View Tented Lodge,,"Brand-new permanent tented lodge atop a hill near Mpingo Ridge in Tarangire National Park, offering sweeping views of the Tarangire River valley and kopjes. Houses 12 spacious house-style tents with private bathrooms, large terraces, stylish furnishings, and a true bush feel blending comfort, privacy, and stunning scenery.",TRUE,0,FALSE,USD,Double room,"House-style tent with king-size bed, attached bathroom, big terrace with comfortable seating, beautifully designed furniture, desk, ample storage, and sweeping views of kopjes and valley for a luxurious bush feel.",2,5,15,1,2,82.5,110,0,0,01/03/2026,31/05/2026
Tarangirei National park,Tarangire View Tented Lodge,,"Brand-new permanent tented lodge atop a hill near Mpingo Ridge in Tarangire National Park, offering sweeping views of the Tarangire River valley and kopjes. Houses 12 spacious house-style tents with private bathrooms, large terraces, stylish furnishings, and a true bush feel blending comfort, privacy, and stunning scenery.",TRUE,0,FALSE,USD,Double room,"House-style tent with king-size bed, attached bathroom, big terrace with comfortable seating, beautifully designed furniture, desk, ample storage, and sweeping views of kopjes and valley for a luxurious bush feel.",2,16,99,1,2,110,110,0,0,01/03/2026,31/05/2026
Tarangirei National park,Tarangire View Tented Lodge,,"Brand-new permanent tented lodge atop a hill near Mpingo Ridge in Tarangire National Park, offering sweeping views of the Tarangire River valley and kopjes. Houses 12 spacious house-style tents with private bathrooms, large terraces, stylish furnishings, and a true bush feel blending comfort, privacy, and stunning scenery.",TRUE,0,FALSE,USD,Double room,"House-style tent with king-size bed, attached bathroom, big terrace with comfortable seating, beautifully designed furniture, desk, ample storage, and sweeping views of kopjes and valley for a luxurious bush feel.",2,0,4,1,2,0,0,0,0,01/06/2026,31/10/2026
