location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Serengeti National Park,Mara Mara Tented Lodge,,"Mara Mara Tented Lodge is a modern luxury tented camp in northern Serengeti's prime Kogatende area, near the Mara River. Divided into north and south camps, it features spacious en-suite tents on raised platforms with private verandas offering stunning savannah and wildlife views?deal for the Great Migration river crossings (June-Nov).",TRUE,0,FALSE,USD,Single Tent,"The single tent at Mara Mara Tented Lodge is a spacious, modern luxury safari tent with a comfortable single or large twin bed, premium linens, and mosquito netting. It features an en-suite bathroom with hot shower, private raised veranda offering prime views of the savannah and Mara River wildlife?erfect for Great Migration crossings. Enjoy elegant African-modern design,",1,0,2,1,1,0.0,0.0,0.0,0.0,01/06/2026,30/06/2026
Serengeti National Park,Mara Mara Tented Lodge,,"Mara Mara Tented Lodge is a modern luxury tented camp in northern Serengeti's prime Kogatende area, near the Mara River. Divided into north and south camps, it features spacious en-suite tents on raised platforms with private verandas offering stunning savannah and wildlife views?deal for the Great Migration river crossings (June-Nov).",TRUE,0,FALSE,USD,Single Tent,"The single tent at Mara Mara Tented Lodge is a spacious, modern luxury safari tent with a comfortable single or large twin bed, premium linens, and mosquito netting. It features an en-suite bathroom with hot shower, private raised veranda offering prime views of the savannah and Mara River wildlife?erfect for Great Migration crossings. Enjoy elegant African-modern design,",1,3,16,1,1,0.0,0.0,0.0,0.0,01/06/2026,30/06/2026
Serengeti National Park,Mara Mara Tented Lodge,,"Mara Mara Tented Lodge is a modern luxury tented camp in northern Serengeti's prime Kogatende area, near the Mara River. Divided into north and south camps, it features spacious en-suite tents on raised platforms with private verandas offering stunning savannah and wildlife views?deal for the Great Migration river crossings (June-Nov).",TRUE,0,FALSE,USD,Single Tent,"The single tent at Mara Mara Tented Lodge is a spacious, modern luxury safari tent with a comfortable single or large twin bed, premium linens, and mosquito netting. It features an en-suite bathroom with hot shower, private raised veranda offering prime views of the savannah and Mara River wildlife?erfect for Great Migration crossings. Enjoy elegant African-modern design,",1,17,99,1,1,419.0,0.0,0.0,0.0,01/06/2026,30/06/2026
Serengeti National Park,Mara Mara Tented Lodge,,"Mara Mara Tented Lodge is a modern luxury tented camp in northern Serengeti's prime Kogatende area, near the Mara River. Divided into north and south camps, it features spacious en-suite tents on raised platforms with private verandas offering stunning savannah and wildlife views?deal for the Great Migration river crossings (June-Nov).",TRUE,0,FALSE,USD,Single Tent,"The single tent at Mara Mara Tented Lodge is a spacious, modern luxury safari tent with a comfortable single or large twin bed, premium linens, and mosquito netting. It features an en-suite bathroom with hot shower, private raised veranda offering prime views of the savannah and Mara River wildlife?erfect for Great Migration crossings. Enjoy elegant African-modern design,",1,0,2,1,1,0.0,0.0,0.0,0.0,01/07/2026,31/10/2026
Serengeti National Park,Mara Mara Tented Lodge,,"Mara Mara Tented Lodge is a modern luxury tented camp in northern Serengeti's prime Kogatende area, near the Mara River. Divided into north and south camps, it features spacious en-suite tents on raised platforms with private verandas offering stunning savannah and wildlife views?deal for the Great Migration river crossings (June-Nov).",TRUE,0,FALSE,USD,Single Tent,"The single tent at Mara Mara Tented Lodge is a spacious, modern luxury safari tent with a comfortable single or large twin bed, premium linens, and mosquito netting. It features an en-suite bathroom with hot shower, private raised veranda offering prime views of the savannah and Mara River wildlife?erfect for Great Migration crossings. Enjoy elegant African-modern design,",1,3,16,1,1,0.0,0.0,0.0,0.0,01/07/2026,31/10/2026
Serengeti National Park,Mara Mara Tented Lodge,,"Mara Mara Tented Lodge is a modern luxury tented camp in northern Serengeti's prime Kogatende area, near the Mara River. Divided into north and south camps, it features spacious en-suite tents on raised platforms with private verandas offering stunning savannah and wildlife views?deal for the Great Migration river crossings (June-Nov).",TRUE,0,FALSE,USD,Single Tent,"The single tent at Mara Mara Tented Lodge is a spacious, modern luxury safari tent with a comfortable single or large twin bed, premium linens, and mosquito netting. It features an en-suite bathroom with hot shower, private raised veranda offering prime views of the savannah and Mara River wildlife?erfect for Great Migration crossings. Enjoy elegant African-modern design,",1,17,99,1,1,809.0,0.0,0.0,0.0,01/07/2026,31/10/2026
Serengeti National Park,Mara Mara Tented Lodge,,"Mara Mara Tented Lodge is a modern luxury tented camp in northern Serengeti's prime Kogatende area, near the Mara River. Divided into north and south camps, it features spacious en-suite tents on raised platforms with private verandas offering stunning savannah and wildlife views?deal for the Great Migration river crossings (June-Nov).",TRUE,0,FALSE,USD,Single Tent,"The single tent at Mara Mara Tented Lodge is a spacious, modern luxury safari tent with a comfortable single or large twin bed, premium linens, and mosquito netting. It features an en-suite bathroom with hot shower, private raised veranda offering prime views of the savannah and Mara River wildlife?erfect for Great Migration crossings. Enjoy elegant African-modern design,",1,0,2,1,1,0.0,0.0,0.0,0.0,01/11/2026,30/11/2026
Serengeti National Park,Mara Mara Tented Lodge,,"Mara Mara Tented Lodge is a modern luxury tented camp in northern Serengeti's prime Kogatende area, near the Mara River. Divided into north and south camps, it features spacious en-suite tents on raised platforms with private verandas offering stunning savannah and wildlife views?deal for the Great Migration river crossings (June-Nov).",TRUE,0,FALSE,USD,Single Tent,"The single tent at Mara Mara Tented Lodge is a spacious, modern luxury safari tent with a comfortable single or large twin bed, premium linens, and mosquito netting. It features an en-suite bathroom with hot shower, private raised veranda offering prime views of the savannah and Mara River wildlife?erfect for Great Migration crossings. Enjoy elegant African-modern design,",1,3,16,1,1,0.0,0.0,0.0,0.0,01/11/2026,30/11/2026
Serengeti National Park,Mara Mara Tented Lodge,,"Mara Mara Tented Lodge is a modern luxury tented camp in northern Serengeti's prime Kogatende area, near the Mara River. Divided into north and south camps, it features spacious en-suite tents on raised platforms with private verandas offering stunning savannah and wildlife views?deal for the Great Migration river crossings (June-Nov).",TRUE,0,FALSE,USD,Single Tent,"The single tent at Mara Mara Tented Lodge is a spacious, modern luxury safari tent with a comfortable single or large twin bed, premium linens, and mosquito netting. It features an en-suite bathroom with hot shower, private raised veranda offering prime views of the savannah and Mara River wildlife?erfect for Great Migration crossings. Enjoy elegant African-modern design,",1,17,99,1,1,419.0,0.0,0.0,0.0,01/11/2026,30/11/2026
Serengeti National Park,Mara Mara Tented Lodge,,"Mara Mara Tented Lodge is a modern luxury tented camp in northern Serengeti's prime Kogatende area, near the Mara River. Divided into north and south camps, it features spacious en-suite tents on raised platforms with private verandas offering stunning savannah and wildlife views?deal for the Great Migration river crossings (June-Nov).",TRUE,0,FALSE,USD,Single Tent,"The single tent at Mara Mara Tented Lodge is a spacious, modern luxury safari tent with a comfortable single or large twin bed, premium linens, and mosquito netting. It features an en-suite bathroom with hot shower, private raised veranda offering prime views of the savannah and Mara River wildlife?erfect for Great Migration crossings. Enjoy elegant African-modern design,",1,0,2,1,1,0.0,0.0,0.0,0.0,01/12/2026,31/12/2026
