location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Serengeti National park,Serengeti View Camp,,"Mobile/seasonal tented camp following the wildebeest migration across the Serengeti, with locations in south (Ndutu calving season) or north/central areas. Offers spacious walk-in tents with en-suite facilities, verandas overlooking the plains, a dining/lounge tent, and immersive wildlife experiences amid endless savanna views.",TRUE,0,FALSE,USD,Single Room,"Large walk-in tent for 1, made-up bed (configurable), en-suite facilities, veranda overlooking migration plains, lounge/dining access, immersive wildlife setting with basic comforts in the endless Serengeti savanna.",1,0,4,1,1,0.0,0.0,0.0,0.0,01/03/2026,31/05/2026
Serengeti National park,Serengeti View Camp,,"Mobile/seasonal tented camp following the wildebeest migration across the Serengeti, with locations in south (Ndutu calving season) or north/central areas. Offers spacious walk-in tents with en-suite facilities, verandas overlooking the plains, a dining/lounge tent, and immersive wildlife experiences amid endless savanna views.",TRUE,0,FALSE,USD,Single Room,"Large walk-in tent for 1, made-up bed (configurable), en-suite facilities, veranda overlooking migration plains, lounge/dining access, immersive wildlife setting with basic comforts in the endless Serengeti savanna.",1,5,15,1,1,0.0,0.0,0.0,0.0,01/03/2026,31/05/2026
Serengeti National park,Serengeti View Camp,,"Mobile/seasonal tented camp following the wildebeest migration across the Serengeti, with locations in south (Ndutu calving season) or north/central areas. Offers spacious walk-in tents with en-suite facilities, verandas overlooking the plains, a dining/lounge tent, and immersive wildlife experiences amid endless savanna views.",TRUE,0,FALSE,USD,Single Room,"Large walk-in tent for 1, made-up bed (configurable), en-suite facilities, veranda overlooking migration plains, lounge/dining access, immersive wildlife setting with basic comforts in the endless Serengeti savanna.",1,16,99,1,1,145.0,0.0,0.0,0.0,01/03/2026,31/05/2026
Serengeti National park,Serengeti View Camp,,"Mobile/seasonal tented camp following the wildebeest migration across the Serengeti, with locations in south (Ndutu calving season) or north/central areas. Offers spacious walk-in tents with en-suite facilities, verandas overlooking the plains, a dining/lounge tent, and immersive wildlife experiences amid endless savanna views.",TRUE,0,FALSE,USD,Single Room,"Large walk-in tent for 1, made-up bed (configurable), en-suite facilities, veranda overlooking migration plains, lounge/dining access, immersive wildlife setting with basic comforts in the endless Serengeti savanna.",1,0,4,1,1,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
Serengeti National park,Serengeti View Camp,,"Mobile/seasonal tented camp following the wildebeest migration across the Serengeti, with locations in south (Ndutu calving season) or north/central areas. Offers spacious walk-in tents with en-suite facilities, verandas overlooking the plains, a dining/lounge tent, and immersive wildlife experiences amid endless savanna views.",TRUE,0,FALSE,USD,Single Room,"Large walk-in tent for 1, made-up bed (configurable), en-suite facilities, veranda overlooking migration plains, lounge/dining access, immersive wildlife setting with basic comforts in the endless Serengeti savanna.",1,5,15,1,1,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
Serengeti National park,Serengeti View Camp,,"Mobile/seasonal tented camp following the wildebeest migration across the Serengeti, with locations in south (Ndutu calving season) or north/central areas. Offers spacious walk-in tents with en-suite facilities, verandas overlooking the plains, a dining/lounge tent, and immersive wildlife experiences amid endless savanna views.",TRUE,0,FALSE,USD,Single Room,"Large walk-in tent for 1, made-up bed (configurable), en-suite facilities, veranda overlooking migration plains, lounge/dining access, immersive wildlife setting with basic comforts in the endless Serengeti savanna.",1,16,99,1,1,235.0,0.0,0.0,0.0,01/06/2026,31/10/2026
Serengeti National park,Serengeti View Camp,,"Mobile/seasonal tented camp following the wildebeest migration across the Serengeti, with locations in south (Ndutu calving season) or north/central areas. Offers spacious walk-in tents with en-suite facilities, verandas overlooking the plains, a dining/lounge tent, and immersive wildlife experiences amid endless savanna views.",TRUE,0,FALSE,USD,Single Room,"Large walk-in tent for 1, made-up bed (configurable), en-suite facilities, veranda overlooking migration plains, lounge/dining access, immersive wildlife setting with basic comforts in the endless Serengeti savanna.",1,0,4,1,1,0.0,0.0,0.0,0.0,01/11/2026,19/12/2026
Serengeti National park,Serengeti View Camp,,"Mobile/seasonal tented camp following the wildebeest migration across the Serengeti, with locations in south (Ndutu calving season) or north/central areas. Offers spacious walk-in tents with en-suite facilities, verandas overlooking the plains, a dining/lounge tent, and immersive wildlife experiences amid endless savanna views.",TRUE,0,FALSE,USD,Single Room,"Large walk-in tent for 1, made-up bed (configurable), en-suite facilities, veranda overlooking migration plains, lounge/dining access, immersive wildlife setting with basic comforts in the endless Serengeti savanna.",1,5,15,1,1,0.0,0.0,0.0,0.0,01/11/2026,19/12/2026
Serengeti National park,Serengeti View Camp,,"Mobile/seasonal tented camp following the wildebeest migration across the Serengeti, with locations in south (Ndutu calving season) or north/central areas. Offers spacious walk-in tents with en-suite facilities, verandas overlooking the plains, a dining/lounge tent, and immersive wildlife experiences amid endless savanna views.",TRUE,0,FALSE,USD,Single Room,"Large walk-in tent for 1, made-up bed (configurable), en-suite facilities, veranda overlooking migration plains, lounge/dining access, immersive wildlife setting with basic comforts in the endless Serengeti savanna.",1,16,99,1,1,375.0,0.0,0.0,0.0,01/11/2026,19/12/2026
Serengeti National park,Serengeti View Camp,,"Mobile/seasonal tented camp following the wildebeest migration across the Serengeti, with locations in south (Ndutu calving season) or north/central areas. Offers spacious walk-in tents with en-suite facilities, verandas overlooking the plains, a dining/lounge tent, and immersive wildlife experiences amid endless savanna views.",TRUE,0,FALSE,USD,Single Room,"Large walk-in tent for 1, made-up bed (configurable), en-suite facilities, veranda overlooking migration plains, lounge/dining access, immersive wildlife setting with basic comforts in the endless Serengeti savanna.",1,0,4,1,1,0.0,0.0,0.0,0.0,20/12/2026,31/12/2026
Serengeti National park,Serengeti View Camp,,"Mobile/seasonal tented camp following the wildebeest migration across the Serengeti, with locations in south (Ndutu calving season) or north/central areas. Offers spacious walk-in tents with en-suite facilities, verandas overlooking the plains, a dining/lounge tent, and immersive wildlife experiences amid endless savanna views.",TRUE,0,FALSE,USD,Single Room,"Large walk-in tent for 1, made-up bed (configurable), en-suite facilities, veranda overlooking migration plains, lounge/dining access, immersive wildlife setting with basic comforts in the endless Serengeti savanna.",1,5,15,1,1,0.0,0.0,0.0,0.0,20/12/2026,31/12/2026
Serengeti National park,Serengeti View Camp,,"Mobile/seasonal tented camp following the wildebeest migration across the Serengeti, with locations in south (Ndutu calving season) or north/central areas. Offers spacious walk-in tents with en-suite facilities, verandas overlooking the plains, a dining/lounge tent, and immersive wildlife experiences amid endless savanna views.",TRUE,0,FALSE,USD,Single Room,"Large walk-in tent for 1, made-up bed (configurable), en-suite facilities, veranda overlooking migration plains, lounge/dining access, immersive wildlife setting with basic comforts in the endless Serengeti savanna.",1,16,99,1,1,235.0,0.0,0.0,0.0,20/12/2026,31/12/2026
Serengeti National park,Serengeti View Camp,,"Mobile/seasonal tented camp following the wildebeest migration across the Serengeti, with locations in south (Ndutu calving season) or north/central areas. Offers spacious walk-in tents with en-suite facilities, verandas overlooking the plains, a dining/lounge tent, and immersive wildlife experiences amid endless savanna views.",TRUE,0,FALSE,USD,Double room,"Large walk-in tent for 1, made-up bed (configurable), en-suite facilities, veranda overlooking migration plains, lounge/dining access, immersive wildlife setting with basic comforts in the endless Serengeti savanna.",2,0,4,1,2,0.0,0.0,0.0,0.0,01/03/2026,31/05/2026
Serengeti National park,Serengeti View Camp,,"Mobile/seasonal tented camp following the wildebeest migration across the Serengeti, with locations in south (Ndutu calving season) or north/central areas. Offers spacious walk-in tents with en-suite facilities, verandas overlooking the plains, a dining/lounge tent, and immersive wildlife experiences amid endless savanna views.",TRUE,0,FALSE,USD,Double room,"Large walk-in tent for 1, made-up bed (configurable), en-suite facilities, veranda overlooking migration plains, lounge/dining access, immersive wildlife setting with basic comforts in the endless Serengeti savanna.",2,5,15,1,2,0.0,0.0,0.0,0.0,01/03/2026,31/05/2026
Serengeti National park,Serengeti View Camp,,"Mobile/seasonal tented camp following the wildebeest migration across the Serengeti, with locations in south (Ndutu calving season) or north/central areas. Offers spacious walk-in tents with en-suite facilities, verandas overlooking the plains, a dining/lounge tent, and immersive wildlife experiences amid endless savanna views.",TRUE,0,FALSE,USD,Double room,"Large walk-in tent for 1, made-up bed (configurable), en-suite facilities, veranda overlooking migration plains, lounge/dining access, immersive wildlife setting with basic comforts in the endless Serengeti savanna.",2,16,99,1,2,110.0,110.0,0.0,0.0,01/03/2026,31/05/2026
Serengeti National park,Serengeti View Camp,,"Mobile/seasonal tented camp following the wildebeest migration across the Serengeti, with locations in south (Ndutu calving season) or north/central areas. Offers spacious walk-in tents with en-suite facilities, verandas overlooking the plains, a dining/lounge tent, and immersive wildlife experiences amid endless savanna views.",TRUE,0,FALSE,USD,Double room,"Large walk-in tent for 1, made-up bed (configurable), en-suite facilities, veranda overlooking migration plains, lounge/dining access, immersive wildlife setting with basic comforts in the endless Serengeti savanna.",2,0,4,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
Serengeti National park,Serengeti View Camp,,"Mobile/seasonal tented camp following the wildebeest migration across the Serengeti, with locations in south (Ndutu calving season) or north/central areas. Offers spacious walk-in tents with en-suite facilities, verandas overlooking the plains, a dining/lounge tent, and immersive wildlife experiences amid endless savanna views.",TRUE,0,FALSE,USD,Double room,"Large walk-in tent for 1, made-up bed (configurable), en-suite facilities, veranda overlooking migration plains, lounge/dining access, immersive wildlife setting with basic comforts in the endless Serengeti savanna.",2,5,15,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
Serengeti National park,Serengeti View Camp,,"Mobile/seasonal tented camp following the wildebeest migration across the Serengeti, with locations in south (Ndutu calving season) or north/central areas. Offers spacious walk-in tents with en-suite facilities, verandas overlooking the plains, a dining/lounge tent, and immersive wildlife experiences amid endless savanna views.",TRUE,0,FALSE,USD,Double room,"Large walk-in tent for 1, made-up bed (configurable), en-suite facilities, veranda overlooking migration plains, lounge/dining access, immersive wildlife setting with basic comforts in the endless Serengeti savanna.",2,16,99,1,2,145.0,145.0,0.0,0.0,01/06/2026,31/10/2026
Serengeti National park,Serengeti View Camp,,"Mobile/seasonal tented camp following the wildebeest migration across the Serengeti, with locations in south (Ndutu calving season) or north/central areas. Offers spacious walk-in tents with en-suite facilities, verandas overlooking the plains, a dining/lounge tent, and immersive wildlife experiences amid endless savanna views.",TRUE,0,FALSE,USD,Double room,"Large walk-in tent for 1, made-up bed (configurable), en-suite facilities, veranda overlooking migration plains, lounge/dining access, immersive wildlife setting with basic comforts in the endless Serengeti savanna.",2,0,4,1,2,0.0,0.0,0.0,0.0,01/11/2026,19/12/2026
